"Id","Label","Name","Provided","Treeshaked","Used"
4975,"./shared/ui/spinner/index.module.css","./shared/ui/spinner/index.module.css",1,1,1
8181,"./shared/ui/page/index.module.css","./shared/ui/page/index.module.css",1,1,1
8944,"../node_modules/clsx/dist/clsx.m.js","../node_modules/clsx/dist/clsx.m.js",1,1,1
5382,"./shared/ui/row.tsx","./shared/ui/row.tsx",1,1,1
1383,"./pages/login/ui/error.tsx","./pages/login/ui/error.tsx",1,1,1
772,"./shared/ui/error-list.tsx","./shared/ui/error-list.tsx",1,1,1
6237,"./pages/login/ui/form.tsx","./pages/login/ui/form.tsx",1,1,1
7659,"./shared/ui/form/index.tsx","./shared/ui/form/index.tsx",1,1,1
4936,"./shared/ui/form-group.tsx","./shared/ui/form-group.tsx",1,1,1
8813,"./shared/ui/form-control.tsx","./shared/ui/form-control.tsx",2,0.5,1
